Date,State_Name,Vegetable_Name,Whole_Price,Retail_Price,Shopping_Mall_Price,units,Vegetable_Image
2024-05-19,MADHYA PRADESH,Brinjal,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-19,MADHYA PRADESH,Brinjal (Big),32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-19,MADHYA PRADESH,Elephant Yam,39,45 - 50,47 - 64,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-19,MADHYA PRADESH,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-19,MADHYA PRADESH,French Beans,176,202 - 224,211 - 290,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-19,MADHYA PRADESH,Garlic,251,289 - 319,301 - 414,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-19,MADHYA PRADESH,Ginger,129,148 - 164,155 - 213,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-19,MADHYA PRADESH,Onion Green,42,48 - 53,50 - 69,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-19,MADHYA PRADESH,Green Peas,43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-19,MADHYA PRADESH,Ivy Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-19,MADHYA PRADESH,Lemon (Lime),104,120 - 132,125 - 172,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-19,MADHYA PRADESH,Mango Raw,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-19,MADHYA PRADESH,Mint Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-19,MADHYA PRADESH,Mushroom,88,101 - 112,106 - 145,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-19,MADHYA PRADESH,Mustard Leaves,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-19,MADHYA PRADESH,Ladies Finger,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-19,MADHYA PRADESH,Pumpkin,18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-19,MADHYA PRADESH,Radish,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-19,MADHYA PRADESH,Ridge Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-19,MADHYA PRADESH,Shallot (Pearl Onion),37,43 - 47,44 - 61,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-19,MADHYA PRADESH,Snake Gourd,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-19,MADHYA PRADESH,Sorrel Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-19,MADHYA PRADESH,Spinach,14,16 - 18,17 - 23,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-19,MADHYA PRADESH,Sweet Potato,39,45 - 50,47 - 64,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-20,MADHYA PRADESH,Onion Big,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-20,MADHYA PRADESH,Onion Small,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-20,MADHYA PRADESH,Tomato,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
